year,month,day,hour,PAR
2012,1,19,23,0
2012,1,20,0,0
2012,1,20,1,0
2012,1,20,2,0
2012,1,20,3,0
2012,1,20,4,0
2012,1,20,5,0
2012,1,20,6,0.008699337
2012,1,20,7,3.738681929
2012,1,20,8,13.24720805
2012,1,20,9,51.19484823
2012,1,20,10,49.3791253
2012,1,20,11,46.51432577
2012,1,20,12,31.2805983
2012,1,20,13,25.55138601
2012,1,20,14,15.43451423
2012,1,20,15,9.302667655
2012,1,20,16,0.448613685
2012,1,20,17,0.528385341
2012,1,20,18,0
2012,1,20,19,0
2012,1,20,20,0
2012,1,20,21,0
2012,1,20,22,0
2012,1,20,23,0
2012,1,21,0,0
2012,1,21,1,0
2012,1,21,2,0
2012,1,21,3,0
2012,1,21,4,0
2012,1,21,5,0
2012,1,21,6,0.007778866
2012,1,21,7,1.921165552
2012,1,21,8,16.50134121
2012,1,21,9,24.76416759
2012,1,21,10,21.81631149
2012,1,21,11,30.72943248
2012,1,21,12,37.04886425
2012,1,21,13,29.23348548
2012,1,21,14,6.984551152
2012,1,21,15,9.589494769
2012,1,21,16,2.89009046
2012,1,21,17,0.06976142
2012,1,21,18,0
2012,1,21,19,0
2012,1,21,20,0
2012,1,21,21,0
2012,1,21,22,0
2012,1,21,23,0
2012,1,22,0,0
2012,1,22,1,0
2012,1,22,2,0
2012,1,22,3,0
2012,1,22,4,0
2012,1,22,5,0
2012,1,22,6,0
2012,1,22,7,0
2012,1,22,8,0
2012,1,22,9,0
2012,1,22,10,0
2012,1,22,11,0
2012,1,22,12,0
2012,1,22,13,0
2012,1,22,14,0
2012,1,22,15,0
2012,1,22,16,0
2012,1,22,17,0
2012,1,22,18,0
2012,1,22,19,0
2012,1,22,20,0
2012,1,22,21,0
2012,1,22,22,0
2012,1,22,23,0
2012,1,23,0,0
2012,1,23,1,0
2012,1,23,2,0
2012,1,23,3,0
2012,1,23,4,0
2012,1,23,5,0
2012,1,23,6,0.011368651
2012,1,23,7,6.05032582
2012,1,23,8,43.02198172
2012,1,23,9,91.62322
2012,1,23,10,47.5492812
2012,1,23,11,75.63849453
2012,1,23,12,119.4190841
2012,1,23,13,60.92059897
2012,1,23,14,55.32908181
2012,1,23,15,27.04180914
2012,1,23,16,19.42835495
2012,1,23,17,1.204645455
2012,1,23,18,0
2012,1,23,19,0
2012,1,23,20,0
2012,1,23,21,0
2012,1,23,22,0
2012,1,23,23,0
2012,1,24,0,0
2012,1,24,1,0
2012,1,24,2,0
2012,1,24,3,0
2012,1,24,4,0
2012,1,24,5,0
2012,1,24,6,0.075389315
2012,1,24,7,18.20557716
2012,1,24,8,139.0074125
2012,1,24,9,345.4036002
2012,1,24,10,304.3993297
2012,1,24,11,325.7378765
2012,1,24,12,141.0689961
2012,1,24,13,312.2909879
2012,1,24,14,149.4079554
2012,1,24,15,117.6068717
2012,1,24,16,77.06439989
2012,1,24,17,0.188053776
2012,1,24,18,0
2012,1,24,19,0
2012,1,24,20,0
2012,1,24,21,0
2012,1,24,22,0
2012,1,24,23,0
2012,1,25,0,0
2012,1,25,1,0
2012,1,25,2,0
2012,1,25,3,0
2012,1,25,4,0
2012,1,25,5,0
2012,1,25,6,0.029300151
2012,1,25,7,11.54113202
2012,1,25,8,52.7018675
2012,1,25,9,88.07804067
2012,1,25,10,125.0526697
2012,1,25,11,126.6104558
2012,1,25,12,245.4854073
2012,1,25,13,94.59719066
2012,1,25,14,68.51789517
2012,1,25,15,51.14636791
2012,1,25,16,12.84550604
2012,1,25,17,1.679730933
2012,1,25,18,0
2012,1,25,19,0
2012,1,25,20,0
2012,1,25,21,0
2012,1,25,22,0
2012,1,25,23,0
2012,1,26,0,0
2012,1,26,1,0
2012,1,26,2,0
2012,1,26,3,0
2012,1,26,4,0
2012,1,26,5,0
2012,1,26,6,0.029144724
2012,1,26,7,5.614080064
2012,1,26,8,25.80387459
2012,1,26,9,68.80254135
2012,1,26,10,119.0842704
2012,1,26,11,101.4298259
2012,1,26,12,114.6573201
2012,1,26,13,76.79655929
2012,1,26,14,63.28980546
2012,1,26,15,18.14544974
2012,1,26,16,13.27802603
2012,1,26,17,0.273912343
2012,1,26,18,0
2012,1,26,19,0
2012,1,26,20,0
2012,1,26,21,0
2012,1,26,22,0
2012,1,26,23,0
2012,1,27,0,0
2012,1,27,1,0
2012,1,27,2,0
2012,1,27,3,0
2012,1,27,4,0
2012,1,27,5,0
2012,1,27,6,0.036031493
2012,1,27,7,38.9372591
2012,1,27,8,179.1445565
2012,1,27,9,686.890745
2012,1,27,10,770.0793273
2012,1,27,11,710.3939025
2012,1,27,12,550.4548696
2012,1,27,13,550.3173964
2012,1,27,14,240.697971
2012,1,27,15,176.0204929
2012,1,27,16,76.84931437
2012,1,27,17,6.413629745
2012,1,27,18,0
2012,1,27,19,0
2012,1,27,20,0
2012,1,27,21,0
2012,1,27,22,0
2012,1,27,23,0
2012,1,28,0,0
2012,1,28,1,0
2012,1,28,2,0
2012,1,28,3,0
2012,1,28,4,0
2012,1,28,5,0
2012,1,28,6,0.015827141
2012,1,28,7,26.19610963
2012,1,28,8,126.6261046
2012,1,28,9,289.0581669
2012,1,28,10,310.9752914
2012,1,28,11,332.3024588
2012,1,28,12,251.6564332
2012,1,28,13,241.1231182
2012,1,28,14,192.5069503
2012,1,28,15,145.1582546
2012,1,28,16,54.19647081
2012,1,28,17,1.825655341
2012,1,28,18,0
2012,1,28,19,0
2012,1,28,20,0
2012,1,28,21,0
2012,1,28,22,0
2012,1,28,23,0
2012,1,29,0,0
2012,1,29,1,0
2012,1,29,2,0
2012,1,29,3,0
2012,1,29,4,0
2012,1,29,5,0
2012,1,29,6,0.028515238
2012,1,29,7,6.821098755
2012,1,29,8,59.78918062
2012,1,29,9,119.2199053
2012,1,29,10,224.2039316
2012,1,29,11,180.1553158
2012,1,29,12,100.9798067
2012,1,29,13,191.8793332
2012,1,29,14,81.81078165
2012,1,29,15,39.15311953
2012,1,29,16,18.28362765
2012,1,29,17,1.713149338
2012,1,29,18,0
2012,1,29,19,0
2012,1,29,20,0
2012,1,29,21,0
2012,1,29,22,0
2012,1,29,23,0
2012,1,30,0,0
2012,1,30,1,0
2012,1,30,2,0
2012,1,30,3,0
2012,1,30,4,0
