year,month,day,hour,temperature
2012,1,15,21,3.511330967
2012,1,15,22,3.667451589
2012,1,15,23,3.632607161
2012,1,16,0,3.798888617
2012,1,16,1,3.705530901
2012,1,16,2,3.578487708
2012,1,16,3,3.488591563
2012,1,16,4,3.351428349
2012,1,16,5,3.232570828
2012,1,16,6,2.998699036
2012,1,16,7,3.06797787
2012,1,16,8,3.206105531
2012,1,16,9,3.555545303
2012,1,16,10,3.978826525
2012,1,16,11,4.497539307
2012,1,16,12,4.806131358
2012,1,16,13,5.356713888
2012,1,16,14,5.496032426
2012,1,16,15,5.210772801
2012,1,16,16,5.053134872
2012,1,16,17,4.447081072
2012,1,16,18,4.682207772
2012,1,16,19,4.497322062
2012,1,16,20,4.287021834
2012,1,16,21,3.746244123
2012,1,16,22,3.740473593
2012,1,16,23,3.648595111
2012,1,17,0,6.313102929
2012,1,17,1,6.093432851
2012,1,17,2,5.934326403
2012,1,17,3,5.651495155
2012,1,17,4,5.533987139
2012,1,17,5,5.222399418
2012,1,17,6,5.235445053
2012,1,17,7,4.887751865
2012,1,17,8,5.189321735
2012,1,17,9,6.063902986
2012,1,17,10,6.749981247
2012,1,17,11,7.431868925
2012,1,17,12,8.365985362
2012,1,17,13,8.51649299
2012,1,17,14,8.640009862
2012,1,17,15,8.103607032
2012,1,17,16,8.640402133
2012,1,17,17,7.164150081
2012,1,17,18,8.200711394
2012,1,17,19,6.755607284
2012,1,17,20,7.084756774
2012,1,17,21,6.708350394
2012,1,17,22,6.104555652
2012,1,17,23,5.942274361
2012,1,18,0,6.682116293
2012,1,18,1,6.507032857
2012,1,18,2,6.275433671
2012,1,18,3,6.03787434
2012,1,18,4,5.726281921
2012,1,18,5,5.705077275
2012,1,18,6,5.547298257
2012,1,18,7,5.379988018
2012,1,18,8,5.61182394
2012,1,18,9,6.420178982
2012,1,18,10,7.380189959
2012,1,18,11,7.761103974
2012,1,18,12,9.08357858
2012,1,18,13,9.250784115
2012,1,18,14,8.569748391
2012,1,18,15,9.164401158
2012,1,18,16,8.766524277
2012,1,18,17,7.94104099
2012,1,18,18,8.081654758
2012,1,18,19,7.959100084
2012,1,18,20,7.10172368
2012,1,18,21,6.667964261
2012,1,18,22,7.571783516
2012,1,18,23,5.304859667
2012,1,19,0,5.280594074
2012,1,19,1,5.1358329
2012,1,19,2,4.939294412
2012,1,19,3,4.764401468
2012,1,19,4,4.549153809
2012,1,19,5,4.636658099
2012,1,19,6,4.375686108
2012,1,19,7,4.342786355
2012,1,19,8,4.399538851
2012,1,19,9,4.910987595
2012,1,19,10,5.814894469
2012,1,19,11,6.652815129
2012,1,19,12,6.963851141
2012,1,19,13,7.037184504
2012,1,19,14,7.537203392
2012,1,19,15,6.86583337
2012,1,19,16,6.769047607
2012,1,19,17,6.559318326
2012,1,19,18,5.95835354
2012,1,19,19,5.69397437
2012,1,19,20,6.737074694
2012,1,19,21,6.115542285
2012,1,19,22,5.015491234
2012,1,19,23,4.872365155
2012,1,20,0,6.773111525
2012,1,20,1,6.572858697
2012,1,20,2,6.333999511
2012,1,20,3,6.033324587
2012,1,20,4,5.909316738
2012,1,20,5,5.760492247
2012,1,20,6,5.50004265
2012,1,20,7,5.331075235
2012,1,20,8,5.960072591
2012,1,20,9,6.642400252
2012,1,20,10,7.54482122
2012,1,20,11,8.839186999
2012,1,20,12,8.907897399
2012,1,20,13,9.444972922
2012,1,20,14,9.246898223
2012,1,20,15,8.640140032
2012,1,20,16,8.927672714
2012,1,20,17,7.92891313
2012,1,20,18,7.871771874
2012,1,20,19,7.596781123
2012,1,20,20,7.533460494
2012,1,20,21,7.428202879
2012,1,20,22,5.893276387
2012,1,20,23,6.15738322
2012,1,21,0,6.917724086
2012,1,21,1,6.729220643
2012,1,21,2,6.60977712
2012,1,21,3,6.194897538
2012,1,21,4,5.954434557
2012,1,21,5,5.795294352
2012,1,21,6,5.503657084
2012,1,21,7,5.431537177
2012,1,21,8,6.351673213
2012,1,21,9,6.32769319
2012,1,21,10,7.349795445
2012,1,21,11,8.349635522
2012,1,21,12,8.826487159
2012,1,21,13,9.625796858
2012,1,21,14,10.13041031
2012,1,21,15,9.404008585
2012,1,21,16,9.007888052
2012,1,21,17,8.601485598
2012,1,21,18,8.320991288
2012,1,21,19,7.505712049
2012,1,21,20,7.37276179
2012,1,21,21,6.336494924
2012,1,21,22,7.486251414
2012,1,21,23,7.237113093
2012,1,22,0,4.34868515
2012,1,22,1,4.197375123
2012,1,22,2,4.025816368
2012,1,22,3,3.941080845
2012,1,22,4,3.82541937
2012,1,22,5,3.593889983
2012,1,22,6,3.532915007
2012,1,22,7,3.772271397
2012,1,22,8,3.809020973
2012,1,22,9,4.226112039
2012,1,22,10,4.343519414
2012,1,22,11,5.473917595
2012,1,22,12,5.823363164
2012,1,22,13,6.022912393
2012,1,22,14,5.695268167
2012,1,22,15,6.17108971
2012,1,22,16,5.503271507
2012,1,22,17,4.930007894
2012,1,22,18,5.237478194
2012,1,22,19,4.965610358
2012,1,22,20,5.085007516
2012,1,22,21,4.811346487
2012,1,22,22,4.78417895
2012,1,22,23,4.234663857
2012,1,23,0,5.008280491
2012,1,23,1,4.878136272
2012,1,23,2,4.700637638
2012,1,23,3,4.576435355
2012,1,23,4,4.426732543
2012,1,23,5,4.163020107
2012,1,23,6,4.09428513
2012,1,23,7,3.960190455
2012,1,23,8,4.364788581
2012,1,23,9,4.893534905
2012,1,23,10,5.844467589
2012,1,23,11,5.972916813
2012,1,23,12,6.6909097
2012,1,23,13,6.91560632
2012,1,23,14,6.398477022
2012,1,23,15,6.246149969
2012,1,23,16,6.283398479
2012,1,23,17,6.174272006
2012,1,23,18,5.930913118
2012,1,23,19,6.061196136
2012,1,23,20,5.235802876
2012,1,23,21,5.070309959
2012,1,23,22,5.187344158
2012,1,23,23,5.181337215
2012,1,24,0,4.863582207
2012,1,24,1,4.729481115
2012,1,24,2,4.675986028
2012,1,24,3,4.387343903
2012,1,24,4,4.398194608
2012,1,24,5,4.258736807
2012,1,24,6,4.043264246
2012,1,24,7,3.857669967
2012,1,24,8,3.814041841
2012,1,24,9,4.373889398
2012,1,24,10,5.138479466
2012,1,24,11,5.987098541
2012,1,24,12,6.431871637
2012,1,24,13,7.011379053
2012,1,24,14,6.037102695
2012,1,24,15,6.317548126
2012,1,24,16,6.093159961
2012,1,24,17,5.995181054
2012,1,24,18,5.925360919
2012,1,24,19,5.913357923
2012,1,24,20,5.292088957
2012,1,24,21,4.927868069
2012,1,24,22,5.349947407
2012,1,24,23,5.34496034
2012,1,25,0,5.089510323
2012,1,25,1,4.919435139
2012,1,25,2,4.763196704
2012,1,25,3,4.705863106
2012,1,25,4,4.40690972
2012,1,25,5,4.334908301
2012,1,25,6,4.248825578
2012,1,25,7,4.284990135
2012,1,25,8,4.490383608
2012,1,25,9,4.765901582
2012,1,25,10,5.629502383
2012,1,25,11,6.282527157
2012,1,25,12,6.049816211
2012,1,25,13,6.95875302
2012,1,25,14,6.719711817
2012,1,25,15,6.637825748
2012,1,25,16,5.99215277
2012,1,25,17,6.258931036
2012,1,25,18,6.146433783
2012,1,25,19,6.43785102
2012,1,25,20,6.064945564
2012,1,25,21,5.385592697
2012,1,25,22,4.602525913
2012,1,25,23,5.382475678
2012,1,26,0,3.447591466
2012,1,26,1,3.344752551
2012,1,26,2,3.276142452
2012,1,26,3,3.187892243
2012,1,26,4,3.154445261
2012,1,26,5,2.900295656
2012,1,26,6,2.807280533
2012,1,26,7,2.69443031
2012,1,26,8,2.966401569
2012,1,26,9,3.370925497
2012,1,26,10,3.811089
2012,1,26,11,4.270829931
2012,1,26,12,4.223513084
2012,1,26,13,4.747316844
2012,1,26,14,4.518923799
2012,1,26,15,4.797813846
2012,1,26,16,4.700708695
2012,1,26,17,4.190558492
2012,1,26,18,4.167765464
2012,1,26,19,4.152478808
2012,1,26,20,4.243571143
2012,1,26,21,4.054065261
2012,1,26,22,2.875057151
2012,1,26,23,3.396224582
2012,1,27,0,3.615249134
2012,1,27,1,3.50292899
2012,1,27,2,3.391532876
2012,1,27,3,3.255257781
2012,1,27,4,3.145538967
2012,1,27,5,3.151777215
2012,1,27,6,3.046804511
2012,1,27,7,2.97322271
2012,1,27,8,3.057046345
2012,1,27,9,3.34445907
2012,1,27,10,4.063991754
2012,1,27,11,4.459074484
2012,1,27,12,4.72863893
2012,1,27,13,4.948937086
2012,1,27,14,5.005833599
2012,1,27,15,5.142434619
2012,1,27,16,4.537875133
2012,1,27,17,4.248942019
2012,1,27,18,4.562141876
2012,1,27,19,3.763522698
2012,1,27,20,3.915171317
2012,1,27,21,3.519509327
2012,1,27,22,3.665020991
2012,1,27,23,4.112966523
2012,1,28,0,6.344761971
2012,1,28,1,6.17525323
2012,1,28,2,5.928564034
2012,1,28,3,5.759880412
2012,1,28,4,5.548528947
2012,1,28,5,5.240485022
2012,1,28,6,5.245122374
2012,1,28,7,5.206049299
2012,1,28,8,5.496900678
2012,1,28,9,6.062687079
2012,1,28,10,7.116618457
2012,1,28,11,7.767616336
2012,1,28,12,8.84533113
2012,1,28,13,8.464416945
2012,1,28,14,8.850135808
2012,1,28,15,7.781941931
2012,1,28,16,7.722053984
2012,1,28,17,7.74811541
2012,1,28,18,7.492420053
2012,1,28,19,7.179815525
2012,1,28,20,7.099164605
2012,1,28,21,6.757481404
2012,1,28,22,6.638507584
2012,1,28,23,6.770590354
2012,1,29,0,6.499111481
2012,1,29,1,6.276455175
2012,1,29,2,6.051065067
2012,1,29,3,5.925708192
2012,1,29,4,5.620971458
2012,1,29,5,5.497733633
2012,1,29,6,5.338838327
2012,1,29,7,5.067989657
2012,1,29,8,5.707714285
2012,1,29,9,6.302496625
2012,1,29,10,7.094677265
2012,1,29,11,8.043553763
2012,1,29,12,8.521781061
2012,1,29,13,8.608177988
2012,1,29,14,9.407129663
2012,1,29,15,8.674506851
2012,1,29,16,8.736706451
2012,1,29,17,8.194239747
2012,1,29,18,7.191806459
2012,1,29,19,7.825443515
2012,1,29,20,7.251620339
2012,1,29,21,6.759888389
2012,1,29,22,5.916116774
2012,1,29,23,7.669731268
2012,1,30,0,7.952830853
2012,1,30,1,7.718332689
2012,1,30,2,7.539757372
2012,1,30,3,7.137334302
2012,1,30,4,6.903865408
2012,1,30,5,6.822229912
2012,1,30,6,6.510843672
2012,1,30,7,6.519413118
2012,1,30,8,6.944236835
2012,1,30,9,7.718534766
2012,1,30,10,8.897446182
2012,1,30,11,9.957278457
2012,1,30,12,10.92527876
2012,1,30,13,10.72989042
2012,1,30,14,10.72209726
2012,1,30,15,10.96409232
2012,1,30,16,10.57629156
