year,month,day,hour,PAR
2012,1,19,23,0
2012,1,20,0,0
2012,1,20,1,0
2012,1,20,2,0
2012,1,20,3,0
2012,1,20,4,0
2012,1,20,5,0
2012,1,20,6,0.009761172
2012,1,20,7,8.445033033
2012,1,20,8,50.02900881
2012,1,20,9,51.9151318
2012,1,20,10,88.96339438
2012,1,20,11,82.29046123
2012,1,20,12,173.5138487
2012,1,20,13,134.5134011
2012,1,20,14,38.10159545
2012,1,20,15,56.85446745
2012,1,20,16,18.566432
2012,1,20,17,0.480374126
2012,1,20,18,0
2012,1,20,19,0
2012,1,20,20,0
2012,1,20,21,0
2012,1,20,22,0
2012,1,20,23,0
2012,1,21,0,0
2012,1,21,1,0
2012,1,21,2,0
2012,1,21,3,0
2012,1,21,4,0
2012,1,21,5,0
2012,1,21,6,0.019547749
2012,1,21,7,6.260379474
2012,1,21,8,16.49734756
2012,1,21,9,58.92536292
2012,1,21,10,74.84581851
2012,1,21,11,57.31853753
2012,1,21,12,77.2806201
2012,1,21,13,40.21755413
2012,1,21,14,27.78682645
2012,1,21,15,8.321465037
2012,1,21,16,6.802030093
2012,1,21,17,0.405685182
2012,1,21,18,0
2012,1,21,19,0
2012,1,21,20,0
2012,1,21,21,0
2012,1,21,22,0
2012,1,21,23,0
2012,1,22,0,0
2012,1,22,1,0
2012,1,22,2,0
2012,1,22,3,0
2012,1,22,4,0
2012,1,22,5,0
2012,1,22,6,0.011299108
2012,1,22,7,3.282497463
2012,1,22,8,15.32002279
2012,1,22,9,41.29404659
2012,1,22,10,41.29217097
2012,1,22,11,41.83528705
2012,1,22,12,36.4560037
2012,1,22,13,21.77135869
2012,1,22,14,1.325011485
2012,1,22,15,9.026861519
2012,1,22,16,5.437876169
2012,1,22,17,0.136125791
2012,1,22,18,0
2012,1,22,19,0
2012,1,22,20,0
2012,1,22,21,0
2012,1,22,22,0
2012,1,22,23,0
2012,1,23,0,0
2012,1,23,1,0
2012,1,23,2,0
2012,1,23,3,0
2012,1,23,4,0
2012,1,23,5,0
2012,1,23,6,0.034031009
2012,1,23,7,7.732267586
2012,1,23,8,41.31935823
2012,1,23,9,98.30245758
2012,1,23,10,117.1073086
2012,1,23,11,143.558839
2012,1,23,12,103.4420234
2012,1,23,13,71.73856519
2012,1,23,14,56.29480043
2012,1,23,15,31.16533111
2012,1,23,16,19.63135821
2012,1,23,17,0.843421123
2012,1,23,18,0
2012,1,23,19,0
2012,1,23,20,0
2012,1,23,21,0
2012,1,23,22,0
2012,1,23,23,0
2012,1,24,0,0
2012,1,24,1,0
2012,1,24,2,0
2012,1,24,3,0
2012,1,24,4,0
2012,1,24,5,0
2012,1,24,6,0.029308569
2012,1,24,7,44.58495381
2012,1,24,8,193.119167
2012,1,24,9,263.0827033
2012,1,24,10,414.6414933
2012,1,24,11,565.059836
2012,1,24,12,382.7525773
2012,1,24,13,339.7019818
2012,1,24,14,124.5919926
2012,1,24,15,126.4248377
2012,1,24,16,58.70212628
2012,1,24,17,1.892837667
2012,1,24,18,0
2012,1,24,19,0
2012,1,24,20,0
2012,1,24,21,0
2012,1,24,22,0
2012,1,24,23,0
2012,1,25,0,0
2012,1,25,1,0
2012,1,25,2,0
2012,1,25,3,0
2012,1,25,4,0
2012,1,25,5,0
2012,1,25,6,0.02066518
2012,1,25,7,22.75956869
2012,1,25,8,12.03322698
2012,1,25,9,228.4982039
2012,1,25,10,298.3905759
2012,1,25,11,240.3062314
2012,1,25,12,207.7051684
2012,1,25,13,193.6873638
2012,1,25,14,143.0185066
2012,1,25,15,65.74349118
2012,1,25,16,32.91578438
2012,1,25,17,2.129297401
2012,1,25,18,0
2012,1,25,19,0
2012,1,25,20,0
2012,1,25,21,0
2012,1,25,22,0
2012,1,25,23,0
2012,1,26,0,0
2012,1,26,1,0
2012,1,26,2,0
2012,1,26,3,0
2012,1,26,4,0
2012,1,26,5,0
2012,1,26,6,0.054306884
2012,1,26,7,13.68732956
2012,1,26,8,71.76020978
2012,1,26,9,186.5793731
2012,1,26,10,107.9077818
2012,1,26,11,151.767952
2012,1,26,12,216.146594
2012,1,26,13,132.4590553
2012,1,26,14,89.65651714
2012,1,26,15,45.78180598
2012,1,26,16,23.5818526
2012,1,26,17,1.033499967
2012,1,26,18,0
2012,1,26,19,0
2012,1,26,20,0
2012,1,26,21,0
2012,1,26,22,0
2012,1,26,23,0
2012,1,27,0,0
2012,1,27,1,0
2012,1,27,2,0
2012,1,27,3,0
2012,1,27,4,0
2012,1,27,5,0
2012,1,27,6,0.101683225
2012,1,27,7,26.36369547
2012,1,27,8,136.7282031
2012,1,27,9,416.9888839
2012,1,27,10,494.092887
2012,1,27,11,484.4515355
2012,1,27,12,399.4281032
2012,1,27,13,448.9689856
2012,1,27,14,210.1282696
2012,1,27,15,58.02007515
2012,1,27,16,69.74067622
2012,1,27,17,2.551951486
2012,1,27,18,0
2012,1,27,19,0
2012,1,27,20,0
2012,1,27,21,0
2012,1,27,22,0
2012,1,27,23,0
2012,1,28,0,0
2012,1,28,1,0
2012,1,28,2,0
2012,1,28,3,0
2012,1,28,4,0
2012,1,28,5,0
2012,1,28,6,0.103919146
2012,1,28,7,32.83819488
2012,1,28,8,243.4428738
2012,1,28,9,322.4269555
2012,1,28,10,580.5555518
2012,1,28,11,485.3954848
2012,1,28,12,276.5184145
2012,1,28,13,386.9826328
2012,1,28,14,220.4592384
2012,1,28,15,68.462344
2012,1,28,16,77.74380595
2012,1,28,17,1.4892015
2012,1,28,18,0
2012,1,28,19,0
2012,1,28,20,0
2012,1,28,21,0
2012,1,28,22,0
2012,1,28,23,0
2012,1,29,0,0
2012,1,29,1,0
2012,1,29,2,0
2012,1,29,3,0
2012,1,29,4,0
2012,1,29,5,0
2012,1,29,6,0.051915734
2012,1,29,7,12.40283319
2012,1,29,8,56.77773969
2012,1,29,9,69.46521
2012,1,29,10,262.1986262
2012,1,29,11,234.5327961
2012,1,29,12,241.5823366
2012,1,29,13,134.0743256
2012,1,29,14,138.3096821
2012,1,29,15,107.9570214
2012,1,29,16,11.68936358
2012,1,29,17,0.905623901
2012,1,29,18,0
2012,1,29,19,0
2012,1,29,20,0
2012,1,29,21,0
2012,1,29,22,0
2012,1,29,23,0
2012,1,30,0,0
