wselev,depth,crossarea,wettedperimeter,surfacewidth,manningN,meanslope,velocity,discharge,volume,mvelocity,RTvar,RTmean,hR,island,wettedBperimeter,bank
0.61,0.498824686,1.86211229,4.221919904,3.732,0.029228301,0.01158892,2.134101931,3.973937432,18.6211229,2.133356336,1513.014991,9.323239408,0.441058175,1,4.221919904,0
0.62,0.504276506,1.899609412,4.261444951,3.766,0.029228301,0.01158892,2.149262829,4.082759899,18.99609412,2.148481165,1525.666211,9.275964206,0.445766503,1,4.261444951,0
0.63,0.509720472,1.937447212,4.300774607,3.8,0.029228301,0.01158892,2.164412523,4.19343501,19.37447212,2.1636393,1469.992172,9.189321869,0.450487968,1,4.300774607,0
0.64,0.514889952,1.975632708,4.342219294,3.836,0.029228301,0.01158892,2.178784169,4.304477268,19.75632708,2.177961192,1459.19564,9.137198334,0.454982251,1,4.342219294,0
0.65,0.520323468,2.014171629,4.381186242,3.87,0.029228301,0.01158892,2.193921481,4.418934402,20.14171629,2.193030251,1432.668864,9.077562876,0.459732026,1,4.381186242,0
0.66,0.525216751,2.053072205,4.424549063,3.908,0.029228301,0.01158892,2.20753728,4.532233432,20.53072205,2.206606522,1434.207939,9.028891426,0.464018406,1,4.424549063,0
0.67,0.530377646,2.092339456,4.465457444,3.944,0.029228301,0.01158892,2.221921447,4.649013912,20.92339456,2.220975995,1402.874886,8.964305792,0.468561056,1,4.465457444,0
0.68,0.535270246,2.131981106,4.508467894,3.982,0.029228301,0.01158892,2.235565958,4.766184385,21.31981106,2.234567277,1429.945783,8.935276772,0.472883728,1,4.508467894,0
0.69,0.540165071,2.172003363,4.551313396,4.02,0.029228301,0.01158892,2.249229352,4.885333717,21.72003363,2.248213264,1404.182443,8.872502434,0.477225621,1,4.551313396,0
0.7,0.544795317,2.212413629,4.596246091,4.06,0.029228301,0.01158892,2.262177137,5.004871529,22.12413629,2.261120058,1364.896851,8.809270512,0.4813523,1,4.596246091,0
0.71,0.54943142,2.253218152,4.641016412,4.1,0.029228301,0.01158892,2.275156797,5.126424592,22.53218152,2.274087689,1320.290876,8.741666808,0.485501009,1,4.641016412,0
0.72,0.554074903,2.294423955,4.685633343,4.14,0.029228301,0.01158892,2.288169288,5.250030429,22.94423955,2.2870653,1337.415897,8.708670591,0.489672108,1,4.685633343,0
0.73,0.558460032,2.336038297,4.732324937,4.182,0.029228301,0.01158892,2.300496138,5.37404708,23.36038297,2.299349973,1317.624173,8.662769433,0.493634382,1,4.732324937,0
0.74,0.563122891,2.378067502,4.776652081,4.222,0.029228301,0.01158892,2.313582301,5.501854885,23.78067502,2.312393672,1316.623819,8.622937751,0.497852358,1,4.776652081,0
0.75,0.567265125,2.420520151,4.825261174,4.266,0.029228301,0.01158892,2.32528662,5.628403121,24.20520151,2.324050261,1294.701114,8.575869352,0.501635054,1,4.825261174,0
0.76,0.571687684,2.463401787,4.871520697,4.308,0.029228301,0.01158892,2.337751662,5.758821622,24.63401787,2.336499033,1273.885266,8.519682911,0.505674088,1,4.871520697,0
0.77,0.575596183,2.506721373,4.922036714,4.354,0.029228301,0.01158892,2.348868576,5.887959061,25.06721373,2.347586682,1259.148624,8.480784403,0.509285387,1,4.922036714,0
0.78,0.579787502,2.550485031,4.97021742,4.398,0.029228301,0.01158892,2.360747303,6.021050658,25.50485031,2.359454765,1239.248341,8.430926463,0.513153614,1,4.97021742,0
0.79,0.583734776,2.59470098,5.020449754,4.444,0.029228301,0.01158892,2.371998272,6.154626241,25.9470098,2.370656108,1228.156773,8.395320994,0.516826401,1,5.020449754,0
0.8,0.587703597,2.639376676,5.070547053,4.49,0.029228301,0.01158892,2.383319571,6.290478088,26.39376676,2.381908597,1237.228191,8.369722322,0.52053095,1,5.070547053,0
0.81,0.591694997,2.684519783,5.120515325,4.536,0.029228301,0.01158892,2.394711501,6.428650398,26.84519783,2.393265168,1221.229717,8.326825527,0.524267503,1,5.120515325,0
0.82,0.595450244,2.730138961,5.172524553,4.584,0.029228301,0.01158892,2.405503735,6.567359469,27.30138961,2.404057755,1196.721138,8.277599071,0.527815563,1,5.172524553,0
0.83,0.598973572,2.77624235,5.226564095,4.634,0.029228301,0.01158892,2.415712818,6.70660423,27.7624235,2.414208184,1216.556948,8.263478055,0.531179241,1,5.226564095,0
0.84,0.602526739,2.822837685,5.280470066,4.684,0.029228301,0.01158892,2.426014853,6.84824615,28.22837685,2.424521148,1169.01702,8.202056738,0.534580757,1,5.280470066,0
0.85,0.606110644,2.869933713,5.33424804,4.734,0.029228301,0.01158892,2.436409854,6.992334779,28.69933713,2.43480757,1197.711549,8.196744309,0.538020297,1,5.33424804,0
0.86,0.609471387,2.917539465,5.390046891,4.786,0.029228301,0.01158892,2.446249247,7.137028718,29.17539465,2.444687356,1124.880173,8.118897017,0.541282761,1,5.390046891,0
0.87,0.612867085,2.965663701,5.445718245,4.838,0.029228301,0.01158892,2.456192477,7.284240871,29.65663701,2.454576577,1146.817613,8.106057389,0.544586328,1,5.445718245,0
0.88,0.616298482,3.014315518,5.501267083,4.89,0.029228301,0.01158892,2.466239374,7.434023617,30.14315518,2.464604667,1123.129242,8.065498767,0.547931135,1,5.501267083,0
