year,month,day,hour,temperature
2012,1,12,21,9.735693628
2012,1,12,22,9.526987426
2012,1,12,23,8.984013261
2012,1,13,0,9.389740048
2012,1,13,1,9.130185549
2012,1,13,2,8.85990593
2012,1,13,3,8.530033863
2012,1,13,4,8.787537989
2012,1,13,5,8.480355059
2012,1,13,6,8.54141782
2012,1,13,7,8.278710207
2012,1,13,8,8.484877856
2012,1,13,9,8.923776649
2012,1,13,10,9.608952761
2012,1,13,11,10.50952614
2012,1,13,12,10.53730761
2012,1,13,13,10.84832114
2012,1,13,14,11.14537241
2012,1,13,15,10.66438073
2012,1,13,16,10.64546004
2012,1,13,17,10.36654715
2012,1,13,18,9.541772829
2012,1,13,19,9.405368913
2012,1,13,20,9.436253596
2012,1,13,21,9.230634507
2012,1,13,22,8.685857062
2012,1,13,23,8.643219993
2012,1,14,0,9.742942838
2012,1,14,1,9.492902483
2012,1,14,2,9.367394733
2012,1,14,3,9.015958022
2012,1,14,4,8.70259528
2012,1,14,5,8.862781835
2012,1,14,6,8.760203242
2012,1,14,7,8.737617551
2012,1,14,8,8.820995843
2012,1,14,9,8.931516266
2012,1,14,10,10.38940752
2012,1,14,11,11.00737601
2012,1,14,12,11.11008288
2012,1,14,13,11.91948099
2012,1,14,14,12.22701388
2012,1,14,15,11.19529148
2012,1,14,16,10.87004349
2012,1,14,17,10.08364409
2012,1,14,18,10.1446992
2012,1,14,19,9.70884391
2012,1,14,20,9.145234064
2012,1,14,21,9.036927457
2012,1,14,22,9.310186948
2012,1,14,23,9.272008418
2012,1,15,0,7.009583543
2012,1,15,1,6.788110334
2012,1,15,2,6.560405232
2012,1,15,3,6.505626913
2012,1,15,4,6.400212284
2012,1,15,5,6.406373636
2012,1,15,6,6.273654021
2012,1,15,7,6.349159688
2012,1,15,8,6.53571491
2012,1,15,9,6.742125871
2012,1,15,10,7.023312852
2012,1,15,11,7.575122907
2012,1,15,12,8.261010218
2012,1,15,13,8.378910153
2012,1,15,14,8.455106867
2012,1,15,15,8.603800111
2012,1,15,16,7.731670968
2012,1,15,17,7.699350657
2012,1,15,18,7.155057002
2012,1,15,19,6.756286645
2012,1,15,20,6.71138811
2012,1,15,21,6.64362974
2012,1,15,22,6.640440973
2012,1,15,23,6.380097471
2012,1,16,0,7.040693219
2012,1,16,1,6.835712744
2012,1,16,2,6.71559451
2012,1,16,3,6.528893177
2012,1,16,4,6.51048239
2012,1,16,5,6.464073257
2012,1,16,6,6.26837073
2012,1,16,7,6.468840467
2012,1,16,8,6.608347165
2012,1,16,9,6.886890775
2012,1,16,10,7.197378186
2012,1,16,11,7.715701374
2012,1,16,12,8.367020012
2012,1,16,13,8.795120838
2012,1,16,14,8.57172353
2012,1,16,15,8.150760818
2012,1,16,16,7.973000309
2012,1,16,17,7.620655988
2012,1,16,18,7.76756257
2012,1,16,19,7.595165735
2012,1,16,20,7.01410827
2012,1,16,21,6.878512807
2012,1,16,22,5.996231707
2012,1,16,23,6.612682471
2012,1,17,0,9.447927209
2012,1,17,1,9.19466548
2012,1,17,2,9.006918422
2012,1,17,3,8.998596811
2012,1,17,4,8.644894824
2012,1,17,5,8.457393912
2012,1,17,6,8.319202424
2012,1,17,7,8.434416629
2012,1,17,8,8.572350416
2012,1,17,9,8.664097992
2012,1,17,10,9.696470823
2012,1,17,11,10.64716295
2012,1,17,12,11.34497591
2012,1,17,13,11.18730377
2012,1,17,14,11.12799114
2012,1,17,15,10.80892478
2012,1,17,16,10.60951011
2012,1,17,17,10.05687201
2012,1,17,18,9.268168024
2012,1,17,19,8.727199653
2012,1,17,20,9.317908351
2012,1,17,21,9.230850851
2012,1,17,22,9.506875961
2012,1,17,23,8.718276293
2012,1,18,0,9.811074953
2012,1,18,1,9.530400198
2012,1,18,2,9.283662089
2012,1,18,3,8.886997773
2012,1,18,4,9.182832376
2012,1,18,5,8.756634273
2012,1,18,6,8.800684625
2012,1,18,7,8.773570848
2012,1,18,8,9.019680082
2012,1,18,9,9.413389927
2012,1,18,10,10.04394218
2012,1,18,11,10.75269264
2012,1,18,12,11.78278137
2012,1,18,13,11.63440712
2012,1,18,14,11.52101918
2012,1,18,15,11.7163321
2012,1,18,16,11.18039517
2012,1,18,17,10.90585325
2012,1,18,18,9.860355631
2012,1,18,19,9.902058948
2012,1,18,20,9.196981027
2012,1,18,21,9.06300954
2012,1,18,22,9.570308374
2012,1,18,23,9.133751217
2012,1,19,0,8.241024552
2012,1,19,1,8.038371658
2012,1,19,2,7.9098273
2012,1,19,3,7.738443039
2012,1,19,4,7.769121672
2012,1,19,5,7.384947528
2012,1,19,6,7.30108583
2012,1,19,7,7.323786475
2012,1,19,8,7.530192092
2012,1,19,9,7.702621935
2012,1,19,10,8.4916052
2012,1,19,11,9.494718645
2012,1,19,12,9.907478196
2012,1,19,13,9.98209644
2012,1,19,14,9.595074197
2012,1,19,15,9.275304581
2012,1,19,16,9.026223941
2012,1,19,17,8.970705872
2012,1,19,18,8.655482976
2012,1,19,19,8.867351241
2012,1,19,20,8.203156677
2012,1,19,21,8.089576783
2012,1,19,22,7.867441483
2012,1,19,23,7.479157231
2012,1,20,0,9.479044386
2012,1,20,1,9.248028811
2012,1,20,2,9.078590001
2012,1,20,3,8.867002083
2012,1,20,4,8.65488701
2012,1,20,5,8.692586436
2012,1,20,6,8.651179296
2012,1,20,7,8.700992815
2012,1,20,8,8.432799196
2012,1,20,9,8.769534374
2012,1,20,10,9.552990123
2012,1,20,11,10.09423225
2012,1,20,12,11.44726417
2012,1,20,13,11.81744789
2012,1,20,14,10.81389082
2012,1,20,15,11.08978581
2012,1,20,16,10.61067328
2012,1,20,17,10.17225785
2012,1,20,18,10.44616971
2012,1,20,19,8.981607958
2012,1,20,20,9.309709214
2012,1,20,21,9.259126625
2012,1,20,22,8.663233001
2012,1,20,23,8.307236975
2012,1,21,0,9.884491902
2012,1,21,1,9.643009286
2012,1,21,2,9.409869229
2012,1,21,3,9.249148744
2012,1,21,4,9.037493897
2012,1,21,5,8.842098962
2012,1,21,6,8.870045874
2012,1,21,7,8.743187787
2012,1,21,8,8.923328385
2012,1,21,9,9.35237139
2012,1,21,10,10.29133463
2012,1,21,11,10.99123095
2012,1,21,12,11.66594256
2012,1,21,13,11.85634003
2012,1,21,14,11.84426103
2012,1,21,15,11.61399817
2012,1,21,16,11.26250739
2012,1,21,17,11.08509141
2012,1,21,18,10.11117159
2012,1,21,19,10.13515878
2012,1,21,20,9.850323499
2012,1,21,21,9.179254295
2012,1,21,22,9.872124668
2012,1,21,23,9.127229252
2012,1,22,0,7.14064145
2012,1,22,1,6.918030233
2012,1,22,2,6.783212977
2012,1,22,3,6.623725724
2012,1,22,4,6.533809747
2012,1,22,5,6.354292791
2012,1,22,6,6.352289741
2012,1,22,7,6.602060398
2012,1,22,8,6.453313311
2012,1,22,9,6.711798462
2012,1,22,10,7.280846941
2012,1,22,11,7.653913624
2012,1,22,12,8.187270395
2012,1,22,13,8.395977056
2012,1,22,14,8.765258856
2012,1,22,15,8.596589127
2012,1,22,16,8.152863095
2012,1,22,17,7.760168993
2012,1,22,18,7.24926344
2012,1,22,19,7.328419652
2012,1,22,20,7.055732857
2012,1,22,21,6.763862134
2012,1,22,22,6.802362757
2012,1,22,23,6.491108105
2012,1,23,0,7.438433035
2012,1,23,1,7.243595522
2012,1,23,2,7.112629699
2012,1,23,3,6.874952758
2012,1,23,4,6.78284805
2012,1,23,5,6.64898326
2012,1,23,6,6.48999126
2012,1,23,7,6.733880769
2012,1,23,8,6.840936213
2012,1,23,9,7.163691011
2012,1,23,10,7.641318765
2012,1,23,11,8.175135986
2012,1,23,12,8.929505835
2012,1,23,13,8.889214929
2012,1,23,14,8.633599681
2012,1,23,15,8.706252622
2012,1,23,16,8.168378171
2012,1,23,17,7.70951806
2012,1,23,18,8.001090214
2012,1,23,19,7.566708698
2012,1,23,20,7.737970687
2012,1,23,21,6.92695087
2012,1,23,22,6.693944366
2012,1,23,23,6.824490115
2012,1,24,0,7.970263967
2012,1,24,1,7.689509978
2012,1,24,2,7.535077777
2012,1,24,3,7.449437223
2012,1,24,4,7.257557893
2012,1,24,5,7.175579715
2012,1,24,6,7.124606395
2012,1,24,7,7.221401314
2012,1,24,8,7.445481316
2012,1,24,9,7.580822039
2012,1,24,10,8.256309756
2012,1,24,11,8.80986183
2012,1,24,12,9.229146369
2012,1,24,13,9.783727472
2012,1,24,14,9.237202133
2012,1,24,15,9.40989038
2012,1,24,16,9.057110515
2012,1,24,17,8.433161933
2012,1,24,18,8.56744615
2012,1,24,19,7.898395057
2012,1,24,20,7.748217541
2012,1,24,21,7.410193668
2012,1,24,22,7.536727684
2012,1,24,23,7.727221086
2012,1,25,0,8.204460356
2012,1,25,1,7.967101757
2012,1,25,2,7.788128716
