"uptake","detritus1c","detritus1n","detritus2c","detritus2n","detritus3c","detritus3n","year","day","month"
0.00016297,173.0491462,4.10359124,353.6221479,8.385599573,225.716294,5.35251067,2008,3,4
0.00015888,173.0491462,4.10360067,353.6221479,8.385617356,225.716294,5.35252225,2008,4,4
0.0001729,173.0491462,4.10360892,353.6221479,8.385635864,225.716294,5.35253373,2008,5,4
0.00017874,173.0491462,4.10361755,353.6221479,8.385654648,225.716294,5.35254523,2008,6,4
0.00019091,173.0491462,4.10362677,353.6221479,8.38567207,225.716294,5.35255692,2008,7,4
0.00020888,173.0491462,4.10363571,353.6221479,8.38569062,225.716294,5.35256802,2008,8,4
0.00021091,173.0491462,4.10364482,353.6221479,8.38570845,225.716294,5.35257962,2008,9,4
0.00021163,173.0491462,4.10365299,353.6221479,8.385725923,225.716294,5.35259113,2008,10,4
0.00020696,173.0491462,4.10366241,353.6221479,8.385743847,225.716294,5.35260311,2008,11,4
0.00020434,173.0491462,4.10367047,353.6221479,8.385762116,225.716294,5.35261373,2008,12,4
0.00019609,173.0491462,4.10367959,353.6221479,8.385778819,225.716294,5.3526256,2008,13,4
0.00019616,173.0491462,4.10368833,353.6221479,8.385799542,225.716294,5.35263701,2008,14,4
0.00019725,173.0491462,4.10369718,353.6221479,8.385815498,225.716294,5.3526485,2008,15,4
0.00018754,173.0491462,4.10370611,353.6221479,8.385833509,225.716294,5.3526599,2008,16,4
0.00018421,173.0491462,4.10371455,353.6221479,8.385850842,225.716294,5.35267187,2008,17,4
0.00018262,173.0491462,4.10372407,353.6221479,8.385871179,225.716294,5.35268309,2008,18,4
0.00018374,173.0491462,4.10373213,353.6221479,8.385888176,225.716294,5.35269419,2008,19,4
0.00018262,173.0491462,4.10374087,353.6221479,8.3859047,225.716294,5.35270579,2008,20,4
0.00017175,173.0491462,4.10374998,353.6221479,8.385923339,225.716294,5.35271756,2008,21,4
0.00017547,173.0491462,4.10375854,353.6221479,8.38594198,225.716294,5.35272878,2008,22,4
0.00016673,173.0491462,4.10376766,353.6221479,8.385960567,225.716294,5.35274066,2008,23,4
0.00016775,173.0491462,4.10377621,353.6221479,8.38597822,225.716294,5.35275168,2008,24,4
0.00016676,173.0491462,4.10378582,353.6221479,8.385997769,225.716294,5.35276354,2008,25,4
0.00015956,173.0491462,4.10379388,353.6221479,8.386014571,225.716294,5.35277495,2008,26,4
0.00015511,173.0491462,4.10380271,353.6221479,8.386031414,225.716294,5.35278626,2008,27,4
0.0001521,173.0491462,4.10381183,353.6221479,8.386050803,225.716294,5.35279775,2008,28,4
0.00022561,173.0491462,4.10382058,353.6221479,8.386067427,225.716294,5.35280972,2008,29,4
0.00021527,173.0491462,4.10382931,353.6221479,8.38608422,225.716294,5.35282064,2008,30,4
0.00020248,173.0491462,4.10383778,353.6221479,8.386103908,225.716294,5.35283205,2008,1,5
0.00019404,173.0491462,4.10384757,353.6221479,8.386122649,225.716294,5.35284401,2008,2,5
0.0001866,173.0491462,4.10385563,353.6221479,8.386140103,225.716294,5.35285551,2008,3,5
0.00019067,173.0491462,4.10386426,353.6221479,8.386156804,225.716294,5.35286691,2008,4,5
0.0001904,173.0491462,4.10387321,353.6221479,8.386173513,225.716294,5.35287811,2008,5,5
0.00018833,173.0491462,4.10388225,353.6221479,8.386193913,225.716294,5.3528897,2008,6,5
0.00019544,173.0491462,4.10389079,353.6221479,8.386211946,225.716294,5.35290158,2008,7,5
0.0001885,173.0491462,4.10389933,353.6221479,8.386229399,225.716294,5.3529127,2008,8,5
0.00019,173.0491462,4.10390903,353.6221479,8.38624804,225.716294,5.352924,2008,9,5
