year,month,day,hour,PARps
2012,1,16,0,0
2012,1,16,1,0
2012,1,16,2,0
2012,1,16,3,0
2012,1,16,4,0
2012,1,16,5,0
2012,1,16,6,0.03274428
2012,1,16,7,10.9308617
2012,1,16,8,61.6454348
2012,1,16,9,125.203613
2012,1,16,10,152.634765
2012,1,16,11,153.516994
2012,1,16,12,147.923915
2012,1,16,13,112.899348
2012,1,16,14,73.1779298
2012,1,16,15,45.3474169
2012,1,16,16,18.5390608
2012,1,16,17,0.83825385
2012,1,16,18,0
2012,1,16,19,0
2012,1,16,20,0
2012,1,16,21,0
2012,1,16,22,0
2012,1,16,23,0
2012,1,17,0,0
2012,1,17,1,0
2012,1,17,2,0
2012,1,17,3,0
2012,1,17,4,0
2012,1,17,5,0
2012,1,17,6,0.06066712
2012,1,17,7,20.0024701
2012,1,17,8,115.905152
2012,1,17,9,231.995947
2012,1,17,10,294.762823
2012,1,17,11,284.087234
2012,1,17,12,283.297175
2012,1,17,13,206.754825
2012,1,17,14,130.700321
2012,1,17,15,84.6066665
2012,1,17,16,33.7660408
2012,1,17,17,1.62852284
2012,1,17,18,0
2012,1,17,19,0
2012,1,17,20,0
2012,1,17,21,0
2012,1,17,22,0
2012,1,17,23,0
2012,1,18,0,0
2012,1,18,1,0
2012,1,18,2,0
2012,1,18,3,0
2012,1,18,4,0
2012,1,18,5,0
2012,1,18,6,0.06921619
2012,1,18,7,22.4067464
2012,1,18,8,125.042621
2012,1,18,9,266.469335
2012,1,18,10,326.672391
2012,1,18,11,326.334121
2012,1,18,12,325.035961
2012,1,18,13,222.970182
2012,1,18,14,149.888666
2012,1,18,15,95.8747627
2012,1,18,16,36.5806474
2012,1,18,17,1.86041152
2012,1,18,18,0
2012,1,18,19,0
2012,1,18,20,0
2012,1,18,21,0
2012,1,18,22,0
2012,1,18,23,0
2012,1,19,0,0
2012,1,19,1,0
2012,1,19,2,0
2012,1,19,3,0
2012,1,19,4,0
2012,1,19,5,0
2012,1,19,6,0.03208874
2012,1,19,7,10.7902772
2012,1,19,8,58.7141012
2012,1,19,9,124.77477
2012,1,19,10,145.076821
2012,1,19,11,149.071262
2012,1,19,12,151.898819
2012,1,19,13,103.451356
2012,1,19,14,69.8992579
2012,1,19,15,42.0943365
2012,1,19,16,17.112462
2012,1,19,17,0.87834253
2012,1,19,18,0
2012,1,19,19,0
2012,1,19,20,0
2012,1,19,21,0
2012,1,19,22,0
2012,1,19,23,0
2012,1,20,0,0
2012,1,20,1,0
2012,1,20,2,0
2012,1,20,3,0
2012,1,20,4,0
2012,1,20,5,0
2012,1,20,6,0.01104189
2012,1,20,7,3.798489
2012,1,20,8,20.0011072
2012,1,20,9,41.2136652
2012,1,20,10,50.4780329
2012,1,20,11,50.0390878
2012,1,20,12,50.0246475
2012,1,20,13,35.6972262
2012,1,20,14,22.9340537
2012,1,20,15,14.5275566
2012,1,20,16,5.64117765
2012,1,20,17,0.28490867
2012,1,20,18,0
2012,1,20,19,0
2012,1,20,20,0
2012,1,20,21,0
2012,1,20,22,0
2012,1,20,23,0
2012,1,21,0,0
2012,1,21,1,0
2012,1,21,2,0
2012,1,21,3,0
2012,1,21,4,0
2012,1,21,5,0
2012,1,21,6,0.00623937
2012,1,21,7,2.39479531
2012,1,21,8,12.7743137
2012,1,21,9,26.724597
2012,1,21,10,30.6756159
2012,1,21,11,32.1082202
2012,1,21,12,31.2412703
2012,1,21,13,21.7034788
