year,month,day,hour,temp
2012,1,11,17,9.31487287
2012,1,11,18,8.98530319
2012,1,11,19,8.71365028
2012,1,11,20,8.54603371
2012,1,11,21,8.28015209
2012,1,11,22,8.151634
2012,1,11,23,8.01433231
2012,1,12,0,10.1008386
2012,1,12,1,9.79450883
2012,1,12,2,9.6003076
2012,1,12,3,9.40198762
2012,1,12,4,9.30475875
2012,1,12,5,9.1417627
2012,1,12,6,9.05807133
2012,1,12,7,9.03993569
2012,1,12,8,9.21612316
2012,1,12,9,9.60365686
2012,1,12,10,10.5380252
2012,1,12,11,11.2972751
2012,1,12,12,11.9771465
2012,1,12,13,12.3008784
2012,1,12,14,12.0939704
2012,1,12,15,11.7008842
2012,1,12,16,11.3013281
2012,1,12,17,10.8873121
2012,1,12,18,10.4862672
2012,1,12,19,10.210713
2012,1,12,20,9.95546171
2012,1,12,21,9.65023253
2012,1,12,22,9.52623276
2012,1,12,23,9.29548509
2012,1,13,0,9.21653843
2012,1,13,1,8.93167474
2012,1,13,2,8.76288607
2012,1,13,3,8.575478
2012,1,13,4,8.49771505
2012,1,13,5,8.3437319
2012,1,13,6,8.25743801
2012,1,13,7,8.25763092
2012,1,13,8,8.37921758
2012,1,13,9,8.75792017
2012,1,13,10,9.65147438
2012,1,13,11,10.3101568
2012,1,13,12,10.848831
2012,1,13,13,11.2209928
2012,1,13,14,11.0235495
2012,1,13,15,10.6889814
2012,1,13,16,10.3056184
2012,1,13,17,9.92260128
2012,1,13,18,9.57123625
2012,1,13,19,9.29003702
2012,1,13,20,9.05688393
2012,1,13,21,8.8166634
2012,1,13,22,8.6735127
2012,1,13,23,8.49988647
2012,1,14,0,9.45094409
2012,1,14,1,9.15862853
2012,1,14,2,8.98179396
2012,1,14,3,8.80587812
2012,1,14,4,8.69228918
2012,1,14,5,8.55606247
2012,1,14,6,8.46042246
2012,1,14,7,8.46387319
2012,1,14,8,8.59281335
2012,1,14,9,8.96657314
2012,1,14,10,9.90369261
2012,1,14,11,10.5906849
2012,1,14,12,11.1492013
2012,1,14,13,11.5205998
2012,1,14,14,11.3129042
2012,1,14,15,10.9481358
2012,1,14,16,10.5918279
2012,1,14,17,10.1653794
2012,1,14,18,9.81563568
2012,1,14,19,9.5263408
2012,1,14,20,9.31099205
2012,1,14,21,9.02859212
2012,1,14,22,8.84846496
2012,1,14,23,8.78559755
2012,1,15,0,6.52895628
2012,1,15,1,6.32597605
2012,1,15,2,6.20311006
