patch,drain,uaa,dist,accDist,zoneID,lateralInput,laterFrac,PARinputFile,LateralNFlexFile,LateralPFlexFile,LateralQFlexFile,waterTempFile,ChannelVelocityFile,detritusInputFile
1637,8,61314,3.33333333,129.42809,7,11,0.00015872,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1638,8,61324,3.33333333,132.761424,7,10,0.00014429,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
2500,8,68138,3.33333333,136.094757,7,6814,0.09831903,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
2501,8,68148,3.33333333,139.42809,7,10,0.00014429,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
2502,8,68206,3.33333333,142.761424,8,58,0.00083688,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
2509,8,68216,3.33333333,146.094757,8,10,0.00014429,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
2510,8,68226,3.33333333,149.42809,8,10,0.00014429,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
2511,8,68238,3.33333333,152.761424,8,12,0.00017315,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
475,8,68254,3.33333333,156.094757,8,16,0.00023086,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
476,8,68276,3.33333333,159.42809,8,22,0.00031744,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
