"(Intercept)","logN"
-2.02074806215382,-0.530060544312792
-1.87135879919884,-0.596471113119181
-2.1827773342434,-0.459471830871756
-1.9656348476467,-0.553753691443613
-1.92796022501705,-0.569238872417121
-1.85909638711178,-0.600066691813688
-2.28957288994556,-0.412135127036596
-2.32274276220158,-0.397766491500203
-1.95992651051661,-0.553949548153837
-2.11794053797843,-0.484503767316554
-2.183956525696,-0.455483020841162
-2.07403095781209,-0.502768708495099
-1.80583129185364,-0.621621381416075
-2.06239387700754,-0.506937096699501
-2.140019967289,-0.472245425366421
-2.13284758753353,-0.475079475208159
-2.11807223223063,-0.480063845509552
-2.1622972927245,-0.460134614107674
-2.10858204014575,-0.483108201187623
-1.90461101781494,-0.571986482864973
-1.64927653677512,-0.689514905201181
-2.01559536324896,-0.522528935274299
-2.15164967870308,-0.462254040360361
-1.9273623560413,-0.558540668373059
-1.81501068710799,-0.608023075284613
-2.15338486553592,-0.455221927702257
-2.03953436429541,-0.503418893598485
-2.2357496525322,-0.41847663502178
-2.13673391278525,-0.457306864283437
-2.10019037277339,-0.472336552590306
-1.98338670920119,-0.522928436422508
-1.94927138153223,-0.537842027241886
-1.97530065860608,-0.5257365209387
-1.97373574542951,-0.525533721867969
-2.15012249741163,-0.44898966240505
-1.98116467271372,-0.520204895870919
-1.9969307595222,-0.512080761512964
-2.05721433591916,-0.483577709063428
-1.9140872361381,-0.5451621998997
-2.10749056512229,-0.460875394357388
-2.07999252171758,-0.471593979507933
-1.92621072093023,-0.537464537120508
-1.9982457957347,-0.505701366725345
-1.72002689398918,-0.625672140285465
-2.1420998592133,-0.439323485288271
-1.87958664346235,-0.552504553757454
-2.08718275076236,-0.461951032341221
-2.01923899407133,-0.487535424890703
-1.96331477800735,-0.511678813508576
-2.19254143343692,-0.413457882718998
-2.14761023513825,-0.429101615733695
-2.13874742373277,-0.429814261506546
-2.13181916714666,-0.426713727736295
-2.04518141144717,-0.463495236590761
-2.10297633141136,-0.43854478724702
-2.19179015105931,-0.398896403685652
-1.89043898354853,-0.516798807828006
-2.04020495512432,-0.447657075114101
-2.06270078996498,-0.433421036275418
