year,month,day,hour,PAR,temperature
2012,1,14,4,0,8.70259528
2012,1,14,5,0,8.862781835
2012,1,14,6,0.002177758,8.760203242
2012,1,14,7,9.892315055,8.737617551
2012,1,14,8,42.90085565,8.820995843
2012,1,14,9,82.45767659,8.931516266
2012,1,14,10,71.51711774,10.38940752
2012,1,14,11,97.13548839,11.00737601
2012,1,14,12,71.95138053,11.11008288
2012,1,14,13,58.98005826,11.91948099
2012,1,14,14,20.28785036,12.22701388
2012,1,14,15,32.13463001,11.19529148
2012,1,14,16,15.5939346,10.87004349
2012,1,14,17,0.297519311,10.08364409
2012,1,14,18,0,10.1446992
2012,1,14,19,0,9.70884391
2012,1,14,20,0,9.145234064
2012,1,14,21,0,9.036927457
2012,1,14,22,0,9.310186948
2012,1,14,23,0,9.272008418
2012,1,15,0,0,7.009583543
2012,1,15,1,0,6.788110334
2012,1,15,2,0,6.560405232
2012,1,15,3,0,6.505626913
2012,1,15,4,0,6.400212284
2012,1,15,5,0,6.406373636
2012,1,15,6,0.004813809,6.273654021
2012,1,15,7,7.342902696,6.349159688
2012,1,15,8,28.95758533,6.53571491
2012,1,15,9,57.58517679,6.742125871
2012,1,15,10,68.1272256,7.023312852
2012,1,15,11,147.6659679,7.575122907
2012,1,15,12,65.98342277,8.261010218
2012,1,15,13,79.10115135,8.378910153
2012,1,15,14,35.55423618,8.455106867
2012,1,15,15,40.61845524,8.603800111
2012,1,15,16,7.59029773,7.731670968
2012,1,15,17,0.024177257,7.699350657
2012,1,15,18,0,7.155057002
2012,1,15,19,0,6.756286645
2012,1,15,20,0,6.71138811
2012,1,15,21,0,6.64362974
2012,1,15,22,0,6.640440973
2012,1,15,23,0,6.380097471
2012,1,16,0,0,7.040693219
2012,1,16,1,0,6.835712744
2012,1,16,2,0,6.71559451
2012,1,16,3,0,6.528893177
2012,1,16,4,0,6.51048239
2012,1,16,5,0,6.464073257
2012,1,16,6,0.048635662,6.26837073
2012,1,16,7,18.03855128,6.468840467
2012,1,16,8,97.63939556,6.608347165
2012,1,16,9,179.3770804,6.886890775
2012,1,16,10,143.0698523,7.197378186
2012,1,16,11,122.1756561,7.715701374
2012,1,16,12,80.43900081,8.367020012
2012,1,16,13,122.175503,8.795120838
2012,1,16,14,46.99387295,8.57172353
2012,1,16,15,52.3512228,8.150760818
2012,1,16,16,14.14349722,7.973000309
2012,1,16,17,0.805488601,7.620655988
2012,1,16,18,0,7.76756257
2012,1,16,19,0,7.595165735
2012,1,16,20,0,7.01410827
2012,1,16,21,0,6.878512807
2012,1,16,22,0,5.996231707
2012,1,16,23,0,6.612682471
2012,1,17,0,0,9.447927209
2012,1,17,1,0,9.19466548
2012,1,17,2,0,9.006918422
2012,1,17,3,0,8.998596811
2012,1,17,4,0,8.644894824
2012,1,17,5,0,8.457393912
2012,1,17,6,0.055662455,8.319202424
2012,1,17,7,19.15341642,8.434416629
2012,1,17,8,210.8644074,8.572350416
2012,1,17,9,115.1265727,8.664097992
2012,1,17,10,257.0247969,9.696470823
2012,1,17,11,258.0885866,10.64716295
2012,1,17,12,246.231671,11.34497591
2012,1,17,13,251.7783633,11.18730377
2012,1,17,14,39.73051652,11.12799114
2012,1,17,15,59.55996204,10.80892478
2012,1,17,16,41.122413,10.60951011
2012,1,17,17,2.114314934,10.05687201
2012,1,17,18,0,9.268168024
2012,1,17,19,0,8.727199653
2012,1,17,20,0,9.317908351
2012,1,17,21,0,9.230850851
2012,1,17,22,0,9.506875961
2012,1,17,23,0,8.718276293
2012,1,18,0,0,9.811074953
2012,1,18,1,0,9.530400198
2012,1,18,2,0,9.283662089
2012,1,18,3,0,8.886997773
2012,1,18,4,0,9.182832376
2012,1,18,5,0,8.756634273
2012,1,18,6,0.020765148,8.800684625
2012,1,18,7,33.12984668,8.773570848
2012,1,18,8,171.7841184,9.019680082
2012,1,18,9,133.3179543,9.413389927
2012,1,18,10,425.3425498,10.04394218
2012,1,18,11,245.7504832,10.75269264
2012,1,18,12,149.7443592,11.78278137
2012,1,18,13,250.295031,11.63440712
2012,1,18,14,181.332111,11.52101918
2012,1,18,15,62.34076146,11.7163321
2012,1,18,16,51.9763729,11.18039517
2012,1,18,17,0.620484955,10.90585325
2012,1,18,18,0,9.860355631
2012,1,18,19,0,9.902058948
2012,1,18,20,0,9.196981027
2012,1,18,21,0,9.06300954
2012,1,18,22,0,9.570308374
2012,1,18,23,0,9.133751217
2012,1,19,0,0,8.241024552
2012,1,19,1,0,8.038371658
2012,1,19,2,0,7.9098273
2012,1,19,3,0,7.738443039
2012,1,19,4,0,7.769121672
2012,1,19,5,0,7.384947528
2012,1,19,6,0.088279458,7.30108583
2012,1,19,7,7.577144203,7.323786475
2012,1,19,8,54.09395675,7.530192092
2012,1,19,9,106.4330861,7.702621935
2012,1,19,10,109.7316905,8.4916052
2012,1,19,11,219.8358891,9.494718645
2012,1,19,12,135.775429,9.907478196
2012,1,19,13,93.08152346,9.98209644
2012,1,19,14,97.85252644,9.595074197
2012,1,19,15,43.19945083,9.275304581
2012,1,19,16,31.03204406,9.026223941
2012,1,19,17,1.081482278,8.970705872
2012,1,19,18,0,8.655482976
2012,1,19,19,0,8.867351241
2012,1,19,20,0,8.203156677
2012,1,19,21,0,8.089576783
2012,1,19,22,0,7.867441483
2012,1,19,23,0,7.479157231
2012,1,20,0,0,9.479044386
2012,1,20,1,0,9.248028811
2012,1,20,2,0,9.078590001
2012,1,20,3,0,8.867002083
2012,1,20,4,0,8.65488701
2012,1,20,5,0,8.692586436
2012,1,20,6,0.008699337,8.651179296
2012,1,20,7,3.738681929,8.700992815
2012,1,20,8,13.24720805,8.432799196
2012,1,20,9,51.19484823,8.769534374
2012,1,20,10,49.3791253,9.552990123
2012,1,20,11,46.51432577,10.09423225
2012,1,20,12,31.2805983,11.44726417
2012,1,20,13,25.55138601,11.81744789
2012,1,20,14,15.43451423,10.81389082
2012,1,20,15,9.302667655,11.08978581
2012,1,20,16,0.448613685,10.61067328
2012,1,20,17,0.528385341,10.17225785
2012,1,20,18,0,10.44616971
2012,1,20,19,0,8.981607958
2012,1,20,20,0,9.309709214
2012,1,20,21,0,9.259126625
2012,1,20,22,0,8.663233001
2012,1,20,23,0,8.307236975
2012,1,21,0,0,9.884491902
2012,1,21,1,0,9.643009286
2012,1,21,2,0,9.409869229
2012,1,21,3,0,9.249148744
2012,1,21,4,0,9.037493897
2012,1,21,5,0,8.842098962
2012,1,21,6,0.007778866,8.870045874
2012,1,21,7,1.921165552,8.743187787
2012,1,21,8,16.50134121,8.923328385
2012,1,21,9,24.76416759,9.35237139
2012,1,21,10,21.81631149,10.29133463
2012,1,21,11,30.72943248,10.99123095
2012,1,21,12,37.04886425,11.66594256
2012,1,21,13,29.23348548,11.85634003
2012,1,21,14,6.984551152,11.84426103
2012,1,21,15,9.589494769,11.61399817
