patch,drain,uaa,dist,accDist,restored,zoneID,zoneClass,lateralInput,laterFrac,,
1285,2,68914,3.333333333,484.18278,1,50,2,3,6.73252E-05,,
1282,1,68957,4.714045208,488.8968252,1,51,1,43,6.73252E-05,,
1280,1,68972,4.714045208,493.6108704,1,51,1,15,6.73252E-05,,
1512,1,68992,4.714045208,498.3249156,1,51,1,20,6.73252E-05,,
1273,1,69007,4.714045208,503.0389608,1,52,2,15,6.73252E-05,,
1271,8,69030,3.333333333,506.3722941,1,53,1,23,6.73252E-05,,
1272,1,69033,4.714045208,511.0863393,1,53,1,3,6.73252E-05,,
385,1,69041,4.714045208,515.8003845,1,53,1,8,6.73252E-05,,
383,8,69052,3.333333333,519.1337179,1,54,2,11,6.73252E-05,,
384,8,69060,3.333333333,522.4670512,1,55,1,8,6.73252E-05,,
1606,1,69063,4.714045208,527.1810964,1,55,1,3,6.73252E-05,,
1604,1,69072,4.714045208,531.8951416,1,55,1,9,6.73252E-05,,
1269,8,69081,3.333333333,535.228475,1,56,2,9,6.73252E-05,,
871,8,69086,3.333333333,538.5618083,1,57,1,5,6.73252E-05,,
872,1,69268,4.714045208,543.2758535,1,57,1,182,6.73252E-05,,
870,8,69277,3.333333333,546.6091868,1,57,1,9,6.73252E-05,,
1579,8,69280,3.333333333,549.9425202,1,58,2,3,6.73252E-05,,
1580,8,69281,3.333333333,553.2758535,1,59,1,1,6.73252E-05,,
1581,8,69290,3.333333333,556.6091868,1,59,1,9,6.73252E-05,,
3514,7,69291,4.714045208,561.323232,1,59,1,1,6.73252E-05,,
3518,8,69301,3.333333333,564.6565654,1,60,2,10,6.73252E-05,,
3519,8,69305,3.333333333,567.9898987,1,60,2,4,6.73252E-05,,
477,8,68291,3.333333333,571.323232,1,61,1,15,6.73252E-05,,
484,8,68300,3.333333333,574.6565654,1,61,1,9,6.73252E-05,,
485,7,68321,4.714045208,579.3706106,1,61,1,21,6.73252E-05,,
3252,8,68335,3.333333333,582.7039439,1,62,2,14,6.73252E-05,,
3169,8,68349,3.333333333,586.0372772,1,63,1,14,6.73252E-05,,
3170,8,68362,3.333333333,589.3706106,1,63,1,13,6.73252E-05,,
3171,8,68413,3.333333333,592.7039439,1,63,1,51,6.73252E-05,,
559,8,68444,3.333333333,596.0372772,1,64,2,31,6.73252E-05,,
560,7,68451,4.714045208,600.7513224,1,65,1,7,6.73252E-05,,
564,8,68463,3.333333333,604.0846558,1,65,1,12,6.73252E-05,,
3550,8,68490,3.333333333,607.4179891,1,65,1,27,6.73252E-05,,
3551,7,68496,4.714045208,612.1320343,1,66,2,6,6.73252E-05,,
3555,8,68536,3.333333333,615.4653677,1,67,1,40,6.73252E-05,,
2896,8,68546,3.333333333,618.798701,1,67,1,10,6.73252E-05,,
2897,8,68565,3.333333333,622.1320343,1,67,1,19,6.73252E-05,,
2898,7,68572,4.714045208,626.8460795,1,68,2,7,6.73252E-05,,
3061,1,68588,4.714045208,631.5601247,1,69,1,16,6.73252E-05,,
494,8,68599,3.333333333,634.8934581,1,69,1,11,6.73252E-05,,
495,8,68631,3.333333333,638.2267914,1,69,1,32,6.73252E-05,,
502,7,68676,4.714045208,642.9408366,1,70,2,45,6.73252E-05,,
3278,8,68708,3.333333333,646.2741699,1,71,1,32,6.73252E-05,,
3279,8,68720,3.333333333,649.6075033,1,71,1,12,6.73252E-05,,
3070,8,68728,3.333333333,652.9408366,1,71,1,8,6.73252E-05,,
3071,1,68761,4.714045208,657.6548818,1,72,2,33,6.73252E-05,,
513,8,68766,3.333333333,660.9882151,1,73,1,5,6.73252E-05,,
1294,8,68782,3.333333333,664.3215485,1,73,1,16,6.73252E-05,,
1295,8,68815,3.333333333,667.6548818,1,73,1,33,6.73252E-05,,
1296,1,68832,4.714045208,672.368927,1,74,2,17,6.73252E-05,,
2191,8,68851,3.333333333,675.7022604,1,75,1,19,6.73252E-05,,
2192,1,68854,4.714045208,680.4163056,1,75,1,3,6.73252E-05,,
2190,1,68911,4.714045208,685.1303508,1,75,1,57,6.73252E-05,,
1285,2,68914,3.333333333,688.4636841,1,76,2,3,6.73252E-05,,
1282,1,68957,4.714045208,693.1777293,1,77,1,43,6.73252E-05,,
1280,1,68972,4.714045208,697.8917745,1,77,1,15,6.73252E-05,,
1512,1,68992,4.714045208,702.6058197,1,77,1,20,6.73252E-05,,
1273,1,69007,4.714045208,707.3198649,1,78,2,15,6.73252E-05,,
1271,8,69030,3.333333333,710.6531983,1,79,1,23,6.73252E-05,,
1272,1,69033,4.714045208,715.3672435,1,79,1,3,6.73252E-05,,
385,1,69041,4.714045208,720.0812887,1,79,1,8,6.73252E-05,,
383,8,69052,3.333333333,723.414622,1,80,2,11,6.73252E-05,,
384,8,69060,3.333333333,726.7479554,1,81,1,8,6.73252E-05,,
1606,1,69063,4.714045208,731.4620006,1,81,1,3,6.73252E-05,,
1604,1,69072,4.714045208,736.1760458,1,81,1,9,6.73252E-05,,
1269,8,69081,3.333333333,739.5093791,1,82,2,9,6.73252E-05,,
871,8,69086,3.333333333,742.8427124,1,83,1,5,6.73252E-05,,
